**Analysis of the Request:**

1.  **Role:** Expert transcript editor specializing in Ethereum and blockchain technology.
SPEAKER_00: Yeah, Aya was very, very, very... I mean, you know, to be honest, I'm on very good terms with Ming and Vitalik as well. But when Aya came, she seemed very, very helpful and tried to solve some staffing problems and things. But the negotiations started, and I'm here. And after that, it seems that by Prague, we kind of get into some serious discussions. And then after that, we kind of, I think it was right at the last day of the Prague DEVCON, we submitted the proposal for funding, immediate funding. And then it was very interesting because I never really got any serious feedback on that. I was always a bit wondered, like, what's going to happen? And then there were some issues that went on with Sean O'Connor. This is a point of contact delegated by Aya. Who, sorry? Sean O'Connor.

SPEAKER_01: Right.

SPEAKER_00: Yes, there was the delegated point of contact for us, the Swarm team. And then slowly, slowly, like after that, I think there's a kind of totally, the EF scores changed a bit, and that's when every team needed to submit a kind of proposal and all kinds of things. It's a kind of this whole... scheme started of like trying to trying to graduate some of the some of the other teams and some of the protocols after the foundation. Yeah, we have to have them get individual funding and then kind of reach the gap with some grants and then that's what happened with Swarm as well. So after I remember 2019, there was a Swarm summit in Madrid, which was very, very successful. We had a lot of partnerships. We subscribed to some monetary help as well. And then the foundation also promised to back it up. And somehow that never happened, so we kind of resorted to launching our own token, which we did in 2021. And it's already been one year into the new Swarm client, like the Bee client. And yes, so when we launched the token...

SPEAKER_01: I mean, was that the same sort of time as your code base became independent? Did that kind of coincide that you're like, right, we're an independent thing, we're going to make a new client, we're going to switch to libp2p and it's not going to be integrated in directly with Geth? Were those happening at the same time or did the tech happen earlier?

SPEAKER_00: Yes, not really. I think the Swarm code base was taken out of the Geth quite a bit before, so I think I'm not even sure where, but I think it was PoC 4, I think. And when it was taken out, I think it was, yeah, it was too experimental, I guess, or something. Anyway, it's not very good idea to mix the two. And then, like, and then, and then also do this, and then develop. We were able to conduct a very separate development scheme and agenda.

SPEAKER_01: And I guess maybe Nick Johnson's sort of experience with spinning out ENS and the ENS Foundation, that would have preceded yours. So perhaps you were looking to that as a pattern. Sorry, we're getting some really bad audio. Can you maybe move a little closer?

SPEAKER_00: Can you hear me now?

SPEAKER_01: Yeah, that's better.

SPEAKER_00: Yeah, ENS is very inspiring. And then we did get some grants from the foundation, and also kind of bridging grant. And then, as I said, somehow, somehow, it never materialized with that kind of program, that budget that we put together with the team. But ultimately, we made it. And then we had our own foundation in Switzerland, which started as an association, a small association. Which kind of issued tokens which is a token and uh yeah another new year of funding.

SPEAKER_01: One thing we skipped over maybe we can just quickly go back to is is Devcon 1. Um, so that was in London in November 2015. So I assume you were there. Do you have what are your memories of that event? I just recently re-watched it and I remember I was doing pretty much um.

SPEAKER_00: Kind of very sick already. I don't know if you know, but I had, I was diagnosed with Parkinson's in 2009, 15 years ago. And when I did DEVCON 1, I was not very, it was not very easy to follow. And here, I don't know, like, literally, a little bit, I was a bit surprised. I didn't remember at the time that I was so sick, such a difficult in terms of my movement. And so I'm sorry for the maybe unsolicited diversion. But yes, as for the content, I remember that we had a very, very successful presentation of Swarm. There was a lot of interest at the time. I was in Shanghai at the second.

SPEAKER_01: I mean, I was looking back at, you're saying you're looking back, I was looking back at some Devcon 1 videos recently. And like, I guess my takeaway looking back is so many ideas were presented, you know, by that point. Nearly anything that you can think of in all the different areas, it seemed that somebody was working on that. You know, you'd got this real flourishing of people building on Ethereum by that point, you know. Like anything you could imagine seems seemingly was presented there.

SPEAKER_00: I remember when I came in. Because we always thought that from next year, we're going to have always wonderful decentralized service, like decentralized delivery, or Just Eat, or whatever you call it, like decentralized eBay, decentralized Uber, and Airbnb, and all kinds of things. And of course, and then, you know, of course, they all need their kind of Swarm-like thing or distributional and sort of scalable, scalable data. They are behind it. That came much, much later.

SPEAKER_01: Yeah. Many of them like five or 10 years too early.

**[01:13:07] UNKNOWN:** Yes.

SPEAKER_00: And yeah, so this is definitely what happened to Swarms. Like if it did not realize much, much later, it has.

SPEAKER_01: But now at least it's working. So so yeah but can you talk a little bit about where Swarm is now? What what's what's happening and how's the functionality and yeah?

SPEAKER_00: So we have a very solid network and we can consolidate the... we've had the narrow definition of the protocol, so basically it's kind of like the distributed chunk store definition, where nodes communicate basically, and then they distribute the chunks. It's kind of a storage model, as well as a distribution network. And it has rather strong privacy properties, which are quite unique, and I mean, we use kind of older than analogies like the Chequebook and postage stamp. Postage stamp is something that you attach to a chunk with some data to keep it alive. And it's kind of a hot wallet in a way. It's kind of when you put some money on it, some storage rent gets deduced and it runs out of funds, you know, your content is live and it is available hot. And... Yeah, so I mean, on the way we can, very early on we implemented kind of this manifest idea. The manifest is basically just a matching of, like mapping of strings to documents, which you can use as a kind of key-value store, but sitemap, but also kind of a directory tree, right? So basically you can, you could, that way implement directories and files. And that was the first extension. Let's go higher level here. And we were already talking about erasure codes and stuff back in 2016. We got only implemented maybe two or three years ago. And it's kind of a very interesting concept of how we can implement it in the erasure codes. But yeah, so there's also this kind of thing called ACT, which is like the, control mechanism that allows you to manage the grantees that can access the file or directory. So we basically have a way to get to the encryption key, the encrypted content. And one of the very interesting stuff in Swarm maybe one of the very interesting features is how you handle the mutability. It's kind of single mutable chunks of feeds, Swarm feeds and... and it's basically kind of some sub-block ENS. So basically, the integrity of the chunk is not by the content, but actually by some kind of semantic convention. Let's say like, okay, it's my website. It's like, you know, let's see. This is something that you can guess. My CV is then hashed together with your address. The mutable content is actually, has a station by signature. So that's the signature, which is the integrity of the chunk. And that's how we handle the mutable content. And it's also this, it's great for kind of quickly changing stuff like databases and things.

SPEAKER_01: I mean, where would you say Swarm, as of 2026, sits and compares with, you know, say, IPFS plus Filecoin or Arweave or others? How do they differ and... You know, what kind of usage?

SPEAKER_00: You're asking me, you probably got the technical answer of how it compares.

SPEAKER_01: Well, let's keep it light.

SPEAKER_00: If I am a dumb end user... No, I know, but what I'm saying is that it's difficult. Not to mention that in terms of, for example, adoption or in terms of even family.

SPEAKER_01: Maybe in terms of adoption and just like top line features perhaps that one has and another doesn't.

SPEAKER_00: So IPFS is obviously very widely used also in the Ethereum realm. It's a, it was always a very, very good and relatively simple, simple architecture, easy to understand. I think it's, it, it, I mean, if you compare it to someone who likes the, likes the previous features, it's, it definitely likes the previous features as well as, as well as the incentives really. I mean, you know, you can say that you can, you can build stuff and, and therefore get it, get it preserved. But those pinning services are actually quite centralized. So it's like, and then there's also kind of attackable in a way.

SPEAKER_01: Does Filecoin work? Is that a real thing now?

SPEAKER_00: Filecoin kind of does it in some way. It's mainly good for archival and you have very strong, they kind of, A killer feature is the availability proofs, which actually work for proving that whatever you store there is available in various replicas, which is not an obvious thing to do at all, and it's very good, but... I don't want to kind of mock it, but this is an intent meme of someone taking a magnetic tape out into an envelope, and it says, like, someone retrieving stuff from Filecoin. So obviously, if you don't have any kind of retrieval protocol, or like... hot retrieval layer with incentivization with some sort of SLA attached to it, then it's a bit difficult to evaluate the proposition there. I mean, of course, since then, there was a lot of trials, and then since then, it's changed, and there's also kind of, there's been also attempts to link it to IPFS, which is itself a distribution platform. So yeah, it doesn't show. And I think it's a bit of an overkill in terms of these incentives, of the availability proofs. And it also kind of suffers some of the previous issues as well. You have to negotiate the market of storage. In Swarm, Swarm is very, very different in that sense. The positive incentives, it's just you get rewards for storing the chunks that belong to your neighborhood. And the pricing and the redistribution of the kind of postage stamp revenue, as you and there's no extra days that you file or anything somewhere. Chunks are always distributed across many neighborhoods, and whatever belongs to you, the node operators get rewarded for. And distribution can have a nice property of a central pricing. Basically, that can be sensitive to some sort of supply signals that we can bring itself. So it has this nice method of checking supply and therefore set the price based on that. That type of model. I mean, the question is whether it works at all, and some of the assumptions might not hold. But in terms of its bandwidth incentive, and in terms of the dispos...itive storage incentives, and also the privacy properties. I would say it's quite an advanced framework. I mean, apart from all the obvious goodies that we talked about, like addressing and kind of URL-based addressing and what we call the rest storage and balance distribution chunks. And then and then also also there's a lot of there's a lot of especially that the monetary incentives is what drives the thing from bottom up. So I think there's some voices in the community that don't take very seriously this kind of monetary incentives. And they think that maybe altruism is really not that bad. And I kind of understand where they're coming from. However, we take it seriously that the monetary incentive, having someone behind a node client, it's kind of modeled by a rational profit maximizing agent. And then it's kind of relatively of maximizing your profit into something that's generally very, very usable on the network level emerges as a kind of intelligent system that can serve other purposes. And this is what the incentive design, this is what Ethereum is amazing at. It can express with the smart contracts what is kind of self-enforcing. Contracts, how they can express a beautiful incentive system. And for example, in Swarm, it takes very seriously that all kinds of strategic decisions that clients can make, that basically not, that doesn't lead to kind of immediate disconnect because of a syntax problem or like something more primitive violation. These should be incentivized, at least doing anything else than what the protocol dictates should not get a better reward. So basically, at least you lose money. All the way from the connectivity, how you connect and how you forward stuff, and all the strategy of what you can serve, what you achieve, what you cash. And all this kind of stuff are properly incentivized.

SPEAKER_01: So let me ask you one last big question. Looking back over these 10 years, have things happened as you thought they might? What you thought Ethereum was at the start, has that been what it's become? Looking back on these 10 years, what are your... big reflections on this journey?

SPEAKER_00: Interesting question. So well, it seems it's still very, very close to my heart in a way, but but apart from the heart being... scientists from the sentimental approach, I also have something that it definitely fulfills many of its early promises and maybe some maybe some of them are kind of maturing a bit slower than i would have wanted. I mean, just just to think of the Proof-of-Stake which was supposed to come after after maybe a few years and then it kind of happened and then but you know i mean some some things some things take a while to to even develop to to even even conceptualize properly and and yes i mean. I mean, of course, some of these earlier ambitions of proper apps being of Swarm, sorry, like the Swarm Ethereum apps, of course, didn't materialize in May. Or I would say that they're not considered as properly materialized, because I think you have Web3 app is as Web3 as the weakest link of it, yeah. So if you have anything that's not so decentralized in a stack, like, I mean, just think of the easiest examples of Tornado Cash, but using centralized infrastructure.

SPEAKER_01: Right, right.

SPEAKER_00: I forgot to say that, but, you know, and if you read it did block turning the cache point and it was obviously illegal to use in the US and and then. But I mean, we still suffer from some of these early neglects, like neglecting clients, neglecting the whole proofs and verification. It's a bit surprising, some of this to me, and it's worth facing that. You know, we're talking about Web3, but it's actually, it's actually just, you know, we talk through our RPC, and then, which is kind of centralized, and then we talk NFTs, and then all this kind of stuff, but we, I mean, as Moxie Marlinspike and... blog, put it like, he actually showed when, when I don't know you can see that the NFT that he created turns into a third image and yes yes so you know it's kind of i mean he of course it's fun it's it's okay to poke fun i mean we all part of this and of course of course you know some of these things might be a promise of maybe a Swarm or something that we might have missed and therefore kind of lagging behind with some of these overall ecosystem promises. But I don't know. But instead of lamenting on this, I just keep on trying to share some positive energies into this constructive action and this stuff. So in this way, I'm kind of... In general, my approach can be described as a sort of punk image that I'm relatively optimistic about the future of it. And I think this unstoppability is kind of unstoppable now. It's really not possible to slow it down. And I really hope that when people get it, they don't they don't necessarily follow this kind of stupid regulations curbing curbing the uses of it and instead instead just yeah okay well thanks so much and uh all the very best.

SPEAKER_01: Okay, thank you very much. It was lovely to talk to you and reminisce about the past.

SPEAKER_00: You too. Okay, thanks so much. Bye-bye.
